City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
173,margherita,27.2833,95.6833,17.93,92,80,0.98,IN,1709572439
174,haiku-pauwela,20.9219,-156.3051,22.25,88,40,4.63,US,1709572257
175,magadan,59.5667,150.8,-13.59,82,100,2.55,RU,1709572356
176,florencia,43.7667,11.25,12.94,76,75,1.54,IT,1709572440
177,kotido,2.9806,34.1331,29.52,35,91,7.69,UG,1709572440
178,balotra,25.8333,72.2333,17.66,11,0,2.93,IN,1709572440
179,flying fish cove,-10.4217,105.6791,26.82,94,75,2.57,CX,1709572350
180,olonkinbyen,70.9221,-8.7187,0.97,98,99,6.8,SJ,1709572239
181,new plymouth,-39.0667,174.0833,13.78,85,98,10.68,NZ,1709572441
182,kavaratti,10.5669,72.642,28.49,71,83,6.91,IN,1709572238
183,teluknaga,-6.0989,106.6381,27.32,83,20,3.6,ID,1709572441
184,vorgashor,67.5833,63.95,-21.54,100,55,3.52,RU,1709572308
185,lobujya,27.95,86.8167,-18.98,35,75,0.65,NP,1709572442
186,vorkuta,67.5,64.0,-21.98,100,54,3.39,RU,1709572257
187,brokopondo,4.75,-55.1667,30.66,53,56,0.33,SR,1709572442
188,zaozersk,69.4005,32.4476,-7.24,99,99,2.41,RU,1709572442
189,egilsstadir,65.2653,-14.3948,3.24,100,93,2.27,IS,1709572290
190,cannonvale,-20.2833,148.7,27.66,86,26,5.03,AU,1709572443
191,okha,53.5739,142.9478,-22.36,100,35,2.62,RU,1709572308
192,susuman,62.7833,148.1667,-19.45,97,100,1.34,RU,1709572385
193,olavarria,-36.8927,-60.3225,24.96,20,0,3.31,AR,1709572443
194,dokkum,53.3222,5.997,8.89,91,100,3.09,NL,1709572444
195,avarua,-21.2078,-159.775,27.03,78,32,3.09,CK,1709572256
196,kuala tungkal,-0.8167,103.4667,25.61,91,93,1.78,ID,1709572444
197,gaspe,48.8334,-64.4819,-1.85,54,53,1.56,CA,1709572444
198,tumpat,6.1978,102.171,26.0,85,91,2.19,MY,1709572445
199,hastings,50.8552,0.5729,9.86,70,100,9.48,GB,1709572459
200,ola,59.5833,151.2833,-13.25,81,100,3.06,RU,1709572459
201,longyearbyen,78.2186,15.6401,-1.09,74,75,6.69,SJ,1709572265
